RefSeq ID,Gene symbol,hsa-miR-16-5p,hsa-miR-106b-5p,hsa-miR-200a-3p,hsa-miR-200b-3p,hsa-miR-215-5p,hsa-let-7c-5p,hsa-miR-103a-3p
NM_001137554,MCTS1,-0.068,-0.032,-0.227,0.214,0.035,0.118,-0.655
NM_001137604,POLR1B,-0.003,0.039,-0.03,0.067,0.007,-0.08,0.052
NM_001139457,BCAP31,-0.168,0.015,0.121,-0.098,0.034,-0.052,0.152
NM_001139468,TBL1X,0.482,0.08,0.099,0.349,-0.593,0.302,0.29
NM_001139490,TRAF3IP1,0.011,-0.023,N/A,0.079,-0.212,0.037,N/A
NM_001139499,LSM5,-0.215,0.056,-0.198,0.274,-0.125,0.19,0.147
NM_001139518,PRKRA,0.07,-0.168,-0.133,-0.176,0.068,0.029,0.061
NM_001141945,ACTA2,0.729,-0.107,-0.139,0.005,1.376,-0.916,-0.434
NM_001141947,CCDC66,-0.09,-0.11,0.121,N/A,0.035,-0.024,0.102
NM_001141973,ATP13A2,-0.198,-0.059,0.093,-0.113,0.031,0.121,-0.019
NM_001141980,TP53BP1,0.09,-0.056,-0.076,0.037,0.182,-0.156,-0.059
NM_001142269,GGCX,0.013,0.118,-0.002,-0.341,0.203,-0.109,-0.043
NM_001142272,RAB11FIP3,0.093,0.052,0.113,-0.028,0.024,-0.004,-0.289
NM_001142281,ARCN1,-0.105,0.033,0.073,0.097,0.137,-0.373,0.128
NM_001142288,COX4NB,-0.021,0.153,-0.037,0.189,-0.086,0.06,0.09
NM_001142291,MGRN1,-0.378,-0.091,0.285,0.275,0.155,0.202,-0.279
NM_001142293,ARFGAP3,0.149,-0.007,-0.104,0.081,-0.079,0.03,0.025
NM_001142307,GTF2H1,-0.215,0.035,0.22,0.027,0.154,0.05,0.195
NM_001142317,TXNL4B,-0.121,0.051,0.118,-0.005,0.102,0.171,0.082
NM_001142327,DMTF1,0.077,-0.02,-0.351,0.121,0.204,-0.101,-0.092
NM_001142350,THOC6,-0.228,0.024,-0.039,-0.105,0.074,-0.03,0.254
NM_001142354,PPP3CB,-0.137,-0.009,-0.001,0.174,-0.01,0.096,-0.129
NM_001142356,NIF3L1,N/A,0.165,0.059,0.018,-0.019,-0.129,-0.155
NM_001142364,ALG5,0.012,0.07,-0.141,0.294,0.143,0.06,0.077
NM_001142392,SLC10A3,-0.016,-0.064,0.088,0.179,-0.034,-0.143,-0.048
NM_001142395,PRRG1,0.55,-0.297,0.138,0.023,0.149,0.073,0.239
NM_001142416,SCYE1,0.085,0.048,-0.107,0.093,0.207,0.123,-0.045
NM_001142434,MGEA5,0.266,-0.108,-0.268,-0.031,-0.053,-0.373,0.042
NM_001142460,ASB10,0.062,0.077,-0.116,-0.145,0.041,0.061,-0.238
NM_001142466,GPT2,-0.151,0.361,0.591,0.127,-0.172,0.485,0.064
NM_001142471,INTS12,0.086,0.106,-0.11,0.149,0.097,0.021,0.013
NM_001142495,MYO5A,0.056,0.057,-0.08,0.199,0.026,-0.013,0.132
NM_001142498,SIRT1,0.039,0.187,-0.337,-0.301,-0.489,0.027,0.349
NM_001142501,MON1A,N/A,-0.109,0.046,-0.05,0.007,N/A,0.082
NM_001142502,PPP1R13L,0.063,-0.213,-0.031,0.031,0.129,0.109,-0.032
NM_001142521,FAM111A,-0.005,-0.108,-0.238,0.286,-0.099,0.1,-0.512
NM_001142522,FBXO5,-0.083,0.01,-0.044,0.15,-0.307,-0.009,-0.092
NM_001142534,SH2D3C,-0.078,-0.045,-0.068,-0.086,-0.036,0.043,-0.087
NM_001142541,SLC35B3,0.115,0.011,-0.003,0.116,0.163,0.11,-0.06
NM_001142547,RPUSD3,-0.029,-0.027,0.001,0.005,0.07,-0.124,0.078
NM_001142548,RAD54L,-0.206,0.024,0.156,0.094,-0.214,0.111,-0.159
NM_001142551,WDR47,0.188,-0.19,0.065,-0.197,-0.269,-0.074,-0.059
NM_001142557,HMMR,0.163,-0.403,-0.322,0.371,-0.291,-0.917,0.068
NM_001142568,BBX,0.354,-0.026,0.019,-0.21,-0.106,-0.177,0.173
NM_001142587,NFYC,-0.419,0.156,0.014,0.188,0.006,-0.102,-0.079
NM_001142596,P4HA1,0.145,-0.014,0.114,0,-0.036,-0.111,0.122
NM_001142599,P4HA2,-0.127,-0.038,-0.225,-0.044,-0.104,-0.158,0.206
NM_001142604,PPT1,-0.399,-0.11,-0.416,0.241,0.271,0.12,0.118
NM_001142616,EHBP1,0.004,0.091,0.224,0.079,-0.046,0.142,0.253
NM_001142621,TGFBRAP1,-0.216,-0.101,0.193,-0.141,0.022,0.11,N/A
NM_001142633,PIK3R5,-0.107,-0.098,0.035,-0.071,0.07,0.109,0.088
NM_001142640,TNRC6C,-0.055,-0.052,0.022,-0.098,0.2,-0.065,-0.04
NM_001142643,CASKIN2,-0.035,N/A,0.067,0.053,0.051,0.064,-0.016
NM_001142646,GPR175,-0.17,0.223,-0.054,-0.102,0.113,0.099,0.006
NM_001142648,SAR1A,-0.164,0.176,-0.382,0.106,0.015,0.219,-0.002
NM_001142650,HNRPLL,0.143,0.119,-0.107,0.085,-0.003,-0.01,-0.131
NM_001142673,KIAA0652,-0.278,0.147,0.141,0.181,0.302,0.018,-0.077
NM_001142677,CHID1,-0.01,0.068,0.151,-0.225,0.037,0.109,0.085
NM_001142776,CHAC1,-0.739,0.645,0.068,0.363,0.229,0.203,0.002
NM_001142778,HSD3B7,-0.048,0.014,-0.019,-0.139,N/A,-0.033,-0.045
NM_001142853,HES6,0.126,0.323,0.153,0.071,-0.372,0.346,-0.047
NM_001142931,API5,0.203,-0.013,0.075,0.148,-0.047,0.019,-0.13
NM_001143681,GSTK1,0.174,-0.023,0.253,-0.023,0.014,-0.008,0.077
NM_001143682,CALCOCO1,-0.047,0.003,0,-0.005,0.222,-0.04,0.029
NM_001143762,EIF5A,-0.071,0.194,-0.071,-0.207,0.02,0.145,N/A
NM_001143771,ZNF438,0.067,0.068,0.132,0.105,0.049,0.216,N/A
NM_001143775,DULLARD,-0.1,-0.096,-0.414,-0.13,-0.021,-0.035,0.058
NM_001143785,FES,-0.142,0.085,0.015,-0.127,0.063,-0.167,0.134
NM_001143804,PHOSPHO1,0.038,-0.001,0.027,-0.096,0.007,-0.051,-0.029
NM_001143821,PLEKHA5,-0.178,-0.029,-0.044,0.195,-0.056,0.003,0.159
NM_001143827,MAPRE2,-0.059,0.151,-0.157,0.1,-0.151,0.102,0.04
NM_001143829,CCDC68,0.083,-0.651,-0.409,0.357,0.138,0.176,0.187
NM_001143852,TCHP,-0.293,0.028,-0.256,-0.042,-0.601,0.029,-0.44
NM_001143853,WIBG,-0.275,0.042,0,-0.127,N/A,-0.043,-0.054
NM_001143887,COPS2,0.08,0.056,-0.178,-0.045,0.038,0.017,-0.01
NM_001143890,BSDC1,-0.044,-0.012,0.421,0.272,0.212,-0.052,-0.153
NM_001143917,LYSMD2,0.168,-0.079,-0.003,0.1,-0.235,0.153,-0.062
NM_001143941,RBM24,-0.141,0.008,-1.098,-0.018,-0.118,0.027,-0.699
NM_001143946,GAS6,-0.112,-0.204,0.265,0.545,0.073,0.202,0.101
NM_001143966,TBC1D7,0.094,0,0.045,0.179,-0.107,0.055,0.07
NM_001143971,CDYL,0.102,0.104,-0.003,-0.112,0,-0.234,0
NM_001143976,WEE1,0.006,-0.154,0.449,0.275,-0.304,0.175,-1.408
NM_001143979,NDE1,-0.037,0.065,-0.214,-0.217,-0.089,0.246,-0.377
NM_001143984,PTPMT1,-0.173,0.037,0.084,-0.153,-0.073,0.003,-0.097
NM_001143985,BANF1,0.066,0.146,0.064,-0.239,0.003,-0.025,0.008
NM_001143986,TLE6,0.098,-0.206,-0.021,0.055,0.232,0.31,N/A
NM_001143993,RASSF7,-0.029,0.074,0.212,-0.044,0.045,-0.238,0.021
NM_001144,AMFR,0.351,0.137,-0.075,-0.708,-0.16,-0.009,-0.375
NM_001144001,SEC14L1,-0.352,0.215,0.294,0.261,0.167,-0.109,-0.838
NM_001144027,NDOR1,-0.182,-0.028,0.063,-0.062,0.081,-0.106,-0.032
NM_001144029,CNTD2,-0.121,-0.01,-0.005,0.135,0.104,-0.012,0.328
NM_001144060,NHSL1,0.171,0.074,0.521,-0.187,-0.626,0.205,0.022
NM_001144073,CHORDC1,N/A,N/A,-0.331,-0.215,0.046,0.085,-0.124
NM_001144074,DET1,-0.014,0.101,0.113,-0.001,0.134,-0.36,N/A
NM_001144755,MYBL1,-0.524,0.062,-0.295,-0.101,-0.461,0.052,-1.023
NM_001144758,PHLDB1,0.104,-0.002,-0.133,-0.404,0.312,0.016,-0.1
NM_001144761,TLE2,-0.247,0.079,0.066,-0.035,0.179,0.202,-0.017
NM_001144765,EXPH5,0.182,-0.21,0.304,0.48,-0.164,0.285,-0.073
NM_001144772,NSMAF,0.177,-0.149,-0.119,-0.602,-0.013,0.006,-0.028
NM_001144827,RPUSD4,-0.136,0.147,0.123,-0.098,0.179,0.19,-0.584
NM_001144831,PHB2,0.155,0.318,-0.202,-0.123,0.064,0.008,-0.092
NM_001144857,PLEKHG6,-0.038,-0.136,0.169,0.118,0.045,N/A,0.098
NM_001144879,IMPA1,-0.285,0.039,-0.396,-0.102,-0.671,-0.082,-0.064
NM_001144883,PRICKLE1,N/A,N/A,0.441,0.05,-0.183,0.396,-0.059
NM_001144887,CITED1,-0.237,0.439,0.066,-0.155,-0.082,0.37,0.05
NM_001144891,MBIP,0.044,0.057,-0.091,-0.343,-0.042,0.008,0.19
NM_001144900,SMCR7,-0.136,0.135,N/A,N/A,0.305,-0.218,N/A
NM_001144920,TTC26,0.046,-0.028,0.006,0.095,0.03,-0.142,-0.211
NM_001144929,NKIRAS2,N/A,N/A,-0.002,0.022,0.035,0.044,0.204
NM_001144932,PSMB5,-0.32,0.074,-0.038,-0.045,0.311,-0.177,-0.253
NM_001144942,RAB34,0.18,-0.058,-0.029,0.175,-0.052,-0.01,-0.149
NM_001144955,DTWD1,0.1,0.086,-0.035,0.22,0.229,0.081,0.031
NM_001144964,NEDD4L,0.394,-0.185,0.038,-0.063,-0.005,-0.029,0.469
NM_001144978,MTHFD2L,0.021,N/A,0.132,N/A,0.118,-0.062,0.098
NM_001144996,ITGA7,0.018,0.009,-0.027,-0.098,-0.044,0.068,0.002
NM_001145000,ITGAV,0.322,0.046,-0.312,0.029,-0.93,-0.18,-0.063
NM_001145001,NEK6,0.286,0.204,-0.007,0.071,-0.394,0.539,0.23
NM_001145009,BTN3A1,0.491,-0.572,0.054,0.214,0.368,0.09,0.013
NM_001145023,SCRN2,0.106,-0.009,0.09,-0.384,0.035,-0.061,0.046
NM_001145031,PLAU,0.244,-0.432,0.245,-0.761,-1.172,0.216,-0.24
NM_001145036,COG2,-0.075,0.118,0.006,0.086,0.204,-0.04,0.146
NM_001145082,ZNF619,-0.221,-0.01,-0.066,-0.029,0.11,0.032,N/A
NM_001145118,GRID2IP,-0.122,-0.044,-0.029,0.087,0.315,0.03,0.074
NM_001145138,RELA,0.208,-0.396,-0.072,-0.037,-0.034,0.01,-0.033
NM_001145145,SLC1A5,-0.338,0.145,0.1,-0.184,0.032,-0.051,0.059
NM_001145146,CRHR1,N/A,-0.056,0.024,-0.004,-0.031,0.013,-0.044
NM_001145152,VPS37A,-0.015,-0.171,0.004,0.484,0.158,0.105,0.054
NM_001145157,NR2F2,0.204,-0.206,-0.212,0.048,-0.144,-0.186,0.169
NM_001145160,TPM4,0.036,-0.111,0.197,-0.281,-0.384,0.226,0.034
NM_001145167,PRMT3,0.067,0.097,0.21,0.229,0.005,-0.213,0.066
NM_001145255,IKBKG,-0.165,0.013,0.051,-0.154,0.109,0.005,N/A
NM_001145260,NCOA4,-0.034,-0.009,0.083,0.233,-0.133,0.066,0.129
NM_001145295,NGLY1,0.186,0.027,0.13,0.084,-0.162,-0.015,-0.033
NM_001145302,RARA,0.105,-0.083,0.131,-0.212,0.07,-0.046,0.175
NM_001145305,KIAA1683,-0.067,0.017,-0.004,0.012,0.35,-0.035,N/A
NM_001145306,CDK6,-0.534,0.381,-0.816,0.059,0.094,-0.087,-1.239
NM_001145319,PLS1,0.079,-0.202,-0.12,-0.185,N/A,-0.158,0.137
NM_001145320,ADAMTSL2,-0.071,N/A,N/A,-0.057,0.005,N/A,-0.004
NM_001145335,UBE2Q2,0.394,-0.253,-0.367,-0.102,-0.394,0.333,0.209
NM_001145345,ZNF566,0.287,N/A,-0.295,-0.264,-0.012,-0.022,N/A
NM_001145347,ZNF576,0.017,0.07,0.179,0.031,0.221,-0.032,-0.213
NM_001145348,JMJD5,-0.226,-0.021,-0.111,-0.131,0.318,-0.027,N/A
NM_001145372,PTPN3,-0.404,-0.374,0.258,0.162,-0.182,-0.115,-0.001
NM_001145391,OXSM,0.014,-0.091,0.296,0.15,-0.107,0.117,0.071
NM_001145396,ALDH16A1,-0.077,-0.055,0.007,-0.089,0.072,0.115,0.026
NM_001145410,NONO,0.014,0.044,-0.131,-0.23,-0.262,0.001,0.081
NM_001145426,CSDA,0.049,0.04,-0.089,-0.232,0.318,0.002,0.15
NM_001145437,LSS,-0.01,-0.035,0.111,-0.34,-0.286,-0.109,0.232
NM_001145443,PFKFB3,0.242,-0.279,0.366,-0.126,-0.332,-0.175,-0.053
NM_001145448,ZNF200,0.168,0.048,0.171,0.022,-0.283,0.005,-0.288
NM_001145450,MORN2,-0.087,-0.08,0.004,0.248,-0.047,0.066,0.333
NM_001145458,NCR1,-0.009,0.013,-0.08,0.154,-0.271,0.07,0.245
NM_001145463,YIF1B,-0.183,-0.035,0.026,-0.136,0.082,0.024,0.048
NM_001145512,NFIA,0.17,-0.082,-0.215,-0.413,-0.067,0.021,-0.283
NM_001145513,SCRN1,-0.188,0.253,0.101,-0.316,-0.195,-0.078,-0.209
NM_001145547,RBM17,-0.116,0.084,0.122,-0.124,0.036,-0.069,0.005
NM_001145548,ZDHHC7,0.056,0.136,-0.359,-0.003,0.239,0.147,-0.191
NM_001145662,GATA2,0.028,0.108,0.29,-0.509,-0.184,0.111,-0.051
NM_001145667,GLG1,0.068,-0.094,0.102,-0.073,0.193,0.001,-0.106
NM_001151,SLC25A4,0.184,0.084,0.028,0.089,-0.235,-0.071,0.04
NM_001152,SLC25A5,-0.011,-0.035,0.031,0.09,0.03,-0.038,0.053
NM_001153,ANXA4,0.179,-0.082,0.116,-0.019,0.406,-0.088,0.073
NM_001154,ANXA5,0.127,0.068,-0.078,0.054,-0.099,0.139,N/A
NM_001166,BIRC2,0.061,-0.006,-0.024,0.171,-0.101,0.068,0.15
NM_001167,XIAP,0.434,-0.237,0.231,-0.466,-0.74,0.039,-0.294
NM_001172,ARG2,-0.155,0.961,N/A,N/A,0.068,-0.277,N/A
NM_001177,ARL1,-0.112,-0.032,0.022,0.022,0.006,-0.034,0.178
NM_001182,ALDH7A1,0.192,0.186,-0.024,-0.023,0.002,0.161,-0.082
NM_001183,ATP6AP1,0.063,0.023,-0.102,-0.087,0.105,-0.024,0.013
NM_001188,BAK1,0.113,0.282,-0.114,0.262,0.451,0.255,-0.261
NM_001190,BCAT2,-0.382,0.299,0.155,0.093,0.171,0.078,-0.594
NM_001194,HCN2,-0.204,0.008,0.073,-0.192,0.166,0.16,0.064
NM_001195,BFSP1,0.613,-0.059,0.281,0.111,-0.068,0.18,-0.284
NM_001197,BIK,-0.45,-0.213,0.043,0.092,0.336,0.199,-0.127
NM_001204,BMPR2,0.374,-0.116,-0.261,-0.243,-0.56,-0.215,0.107
NM_001206,KLF9,0.614,-0.114,-0.309,0.001,-0.189,-0.018,0.256
NM_001207,BTF3,-0.127,0.109,-0.093,0,0.27,0.005,N/A
NM_001211,BUB1B,-0.091,0.025,-0.402,0.2,-0.279,0.003,0.018
NM_001217,CA11,0.098,-0.032,-0.176,0.078,0.465,-0.053,N/A
NM_001220,CAMK2B,-0.13,0.042,-0.035,-0.141,0.158,0.019,0.118
NM_001226,CASP6,0.13,0.032,0.163,0.074,-0.089,0.03,-0.07
NM_001233,CAV2,0.606,-0.074,0.144,-0.303,-0.387,0.16,0.035
NM_001235,SERPINH1,-0.364,0.352,0.425,-0.83,-0.017,-0.177,0.505
NM_001237,CCNA2,-0.058,0.022,-0.248,-0.044,-0.162,-0.316,-0.11
NM_001239,CCNH,-0.132,-0.098,-0.195,0.309,0.496,0.083,0.053
NM_001241,CCNT2,-0.033,0.053,-0.039,0.188,-0.138,0.033,-0.107
NM_001242,CD27,-0.055,-0.005,N/A,N/A,0.086,0.001,N/A
NM_001244,TNFSF8,-0.073,-0.031,-0.093,-0.252,-0.104,0.003,0.125
NM_001246,ENTPD2,-0.06,0.033,0.018,-0.061,0.103,-0.023,0.06
NM_001247,ENTPD6,-0.564,0.041,0.158,0.02,0.197,-0.037,-0.088
NM_001253,CDC5L,-0.167,0.007,0.006,0.19,-0.065,0.074,0.055
NM_001254,CDC6,-0.349,0.264,0.383,0.253,-0.205,-0.13,0.176
NM_001255,CDC20,-0.175,N/A,-0.101,N/A,-0.407,0.012,0.054
NM_001258,CDK3,0.045,-0.01,-0.068,-0.08,0.097,0.034,-0.196
NM_001260,CDK8,-0.244,0.275,-0.851,0.161,0.585,-0.573,0.238
NM_001261,CDK9,-0.013,0.105,-0.129,-0.029,0.046,0.193,-0.05
NM_001263,CDS1,-0.042,-0.176,0.014,0.27,-0.316,0.03,0.124
NM_001268,RCBTB2,-0.106,-0.031,-0.192,0.032,-0.41,0.469,N/A
NM_001270,CHD1,0.044,0.099,0.072,0.037,-0.176,-0.122,-0.302
NM_001273,CHD4,-0.119,0.092,0.148,0.059,0.065,-0.504,0.097
NM_001278,CHUK,-0.429,-0.005,0.029,0.245,-0.015,-0.101,-0.199
NM_001280,CIRBP,-0.161,0.05,-0.1,-0.063,0.107,0.089,0.313
NM_001281,TBCB,-0.002,-0.036,-0.128,-0.18,0.13,-0.082,0.023
NM_001284,AP3S1,0.231,-0.091,-0.68,0.671,0.263,-0.243,N/A
NM_001286,CLCN6,0.083,-0.011,-0.167,-0.089,0.139,0.016,0.128
NM_001293,CLNS1A,-0.083,0.076,0.191,0.085,0.282,-0.067,0.121
NM_001294,CLPTM1,-0.131,-0.25,-0.067,-0.033,0.025,-0.006,0.193
NM_001300,KLF6,0.106,-0.306,0.327,-0.12,-0.14,-0.116,0.189
NM_001303,COX10,-0.258,-0.395,0.374,0.077,-0.064,-0.259,0.15
NM_001304,CPD,0.051,0.12,-0.024,0.071,-0.329,0.055,0.076
NM_001307,CLDN7,0.061,0.089,0.554,-0.081,-0.244,-0.221,0.059
NM_001310,CREBL2,0.146,0.124,0.125,-0.074,-0.263,0.005,0.498
NM_001311,CRIP1,-0.185,-0.062,-0.081,-0.306,0.079,-0.026,0.191
NM_001316,CSE1L,-0.006,0.017,-0.122,0.109,-0.122,-0.077,-0.284
NM_001319,CSNK1G2,-0.291,-0.146,0.231,0.089,0.126,0.097,-0.111
NM_001321,CSRP2,0.025,0.101,0.064,0.095,-0.142,0.124,0.072
NM_001323,CST6,-0.096,-0.048,0.167,-0.195,-0.175,-0.114,-0.007
NM_001325,CSTF2,-0.027,-0.165,0.075,0.099,-0.101,0.019,-0.076
NM_001326,CSTF3,-0.005,0.167,-0.195,-0.08,0.155,-0.09,0.087
NM_001333,CTSL2,-0.041,0.218,-0.085,-0.01,-0.103,0.166,-0.065
NM_001336,CTSZ,0.221,0.319,0.033,-0.338,-0.535,0.113,0.197
NM_001338,CXADR,0.126,0.035,-0.244,0.064,0.18,-0.182,0.14
NM_001343,DAB2,0.462,-0.112,-0.001,-0.005,-0.137,0.06,-0.019
NM_001344,DAD1,-0.049,-0.003,0.039,0.146,0.036,0.069,0.176
NM_001347,DGKQ,0.196,-0.18,0.151,0.015,0.216,0.053,0.151
NM_001348,DAPK3,-0.191,0.06,0.076,-0.056,0.198,0.084,0.019
NM_001349,DARS,-0.01,0.246,-0.299,-0.563,-0.139,0.221,0.27
NM_001352,DBP,-0.044,0.005,0.011,-0.14,0.096,-0.001,-0.017
NM_001356,DDX3X,-0.192,0.124,-0.211,0.026,-0.344,0.078,N/A
NM_001357,DHX9,-0.025,0.079,-0.123,-0.207,0.094,-0.032,-0.007
NM_001358,DHX15,-0.077,0.084,-0.218,0.159,-0.006,-0.022,0.114
NM_001359,DECR1,0.248,-0.056,0.129,0.218,-0.14,0.074,0.09
NM_001360,DHCR7,-0.066,0.19,0.113,-0.194,-0.339,0.061,-0.28
NM_001361,DHODH,0.134,0.058,0.032,-0.119,-0.032,0.278,-0.128
NM_001363,DKC1,-0.186,0.09,0.049,-0.104,-0.034,-0.149,0.063
NM_001371,DNAH8,-0.139,-0.135,-0.076,-0.005,0.092,-0.087,0.304
NM_001376,DYNC1H1,0.04,-0.332,0.083,0.073,0.326,-0.007,-0.015
NM_001378,DYNC1I2,-0.038,-0.156,0.077,0.144,-0.09,0.098,0.064
NM_001380,DOCK1,0.301,0.111,-0.161,0.03,-0.007,0.05,-0.055
NM_001381,DOK1,0.291,-0.07,0.191,-0.03,-0.257,-0.19,-0.14
NM_001382,DPAGT1,-0.069,-0.064,-0.103,0.257,0.051,-0.46,0.035
NM_001383,DPH1,-0.008,0.083,-0.087,-0.068,0.409,-0.306,-0.019
NM_001386,DPYSL2,0.436,0.026,-0.785,0.075,-0.354,-0.015,0.239
NM_001387,DPYSL3,-0.157,0.093,-0.048,0.093,-0.262,0.071,0.198
NM_001388,DRG2,-0.102,0.196,-0.068,-0.03,0.236,0.118,0.047
NM_001394,DUSP4,0.306,0.017,0.197,-0.472,0.056,-0.266,-0.014
NM_001395,DUSP9,-0.301,0.133,N/A,-0.199,-0.425,-0.558,0.019
NM_001398,ECH1,0.401,-0.048,0.063,-0.162,-0.629,0.169,-0.044
NM_001404,EEF1G,-0.144,0.128,0.078,-0.18,0.202,0.007,N/A
NM_001406,EFNB3,-0.141,0.034,0.044,-0.143,0.091,0.01,N/A
NM_001407,CELSR3,-0.033,-0.038,0.138,0.562,0.261,0.198,N/A
NM_001408,CELSR2,0.026,0.139,0.063,N/A,N/A,N/A,-0.572
NM_001409,MEGF6,-0.165,-0.093,0.135,-0.212,-0.117,0.054,N/A
NM_001412,EIF1AX,0.108,0.314,0.133,-0.159,0.225,-0.309,0.044
NM_001414,EIF2B1,-0.04,0.076,0.012,-0.096,0.079,0.024,-0.055
NM_001415,EIF2S3,-0.01,0.243,0.088,N/A,-0.52,-0.224,0.167
NM_001416,EIF4A1,-0.041,0.11,0.01,-0.217,0.125,-0.208,N/A
NM_001417,EIF4B,-0.217,-0.043,-0.044,-0.341,0.316,0.062,0.042
NM_001419,ELAVL1,-0.014,0.066,-0.042,0.093,-0.021,0.031,-0.104
NM_001423,EMP1,0.151,-0.093,-0.029,0.024,-0.26,0.033,0.285
NM_001425,EMP3,-0.041,-0.016,-0.165,-0.171,N/A,N/A,0.025
NM_001428,ENO1,-0.043,-0.06,0.059,-0.144,-0.007,-0.045,N/A
NM_001430,EPAS1,0.031,-0.115,-0.233,0.178,0.183,0.276,-0.027
NM_001432,EREG,0.276,-0.73,0.066,-0.498,-1.332,0.137,N/A
NM_001433,ERN1,-0.021,0.105,-0.028,N/A,0.003,0.07,N/A
NM_001436,FBL,-0.09,0.057,0.1,-0.148,0.263,-0.33,0.083
NM_001440,EXTL3,N/A,N/A,0.219,-0.125,-0.145,N/A,-0.046
NM_001441,FAAH,-0.08,-0.016,-0.021,-0.036,0.169,0.044,0.049
NM_001448,GPC4,0.404,0.248,-0.05,-0.258,-0.915,0.182,0.029
NM_001449,FHL1,N/A,0.199,-0.138,-0.368,N/A,-0.063,-0.028
NM_001450,FHL2,-0.28,-0.101,-0.116,-0.128,0.253,-0.08,0.095
NM_001451,FOXF1,N/A,-0.112,0.133,-0.002,-0.112,0.151,0.079
NM_001457,FLNB,-0.137,0.055,-0.015,-0.143,0.12,0.07,0.127
NM_001469,XRCC6,0.114,0.084,-0.066,-0.07,0.086,-0.13,N/A
NM_001478,B4GALNT1,N/A,N/A,0.037,-0.072,0.116,N/A,0.015
NM_001481,GAS8,-0.003,-0.09,0.191,0.086,0.112,0.065,0.069
NM_001483,GBAS,0.267,-0.056,0.016,0.065,-0.198,0.134,-0.146
NM_001487,BLOC1S1,0.063,-0.005,-0.072,0.091,0.08,-0.035,-0.054
NM_001488,TADA2L,0.068,-0.032,0.179,0.119,-0.103,-0.167,-0.205
NM_001493,GDI1,0.009,-0.15,N/A,0.18,0.015,-0.05,-0.023
NM_001496,GFRA3,-0.19,0.039,-0.115,N/A,0.078,N/A,N/A
NM_001497,B4GALT1,0.008,0.071,0.082,-0.002,-0.3,0.015,-0.064
NM_001498,GCLC,-0.065,-0.057,-0.501,0.11,0.283,-0.167,0.276
NM_001499,GLE1,0.097,-0.02,0.03,0.25,0.026,-0.005,-0.031
NM_001500,GMDS,0.092,0.112,0.309,0.11,-0.11,0.17,-0.01
NM_001510,GRID2,N/A,-0.079,-0.102,-0.152,0.051,-0.054,0.049
NM_001511,CXCL1,0.006,0.133,0.409,0.191,0.45,0.103,N/A
NM_001513,GSTZ1,-0.001,0.028,0.043,0.016,0.138,0.122,0.103
NM_001514,GTF2B,0.275,0.166,-0.057,0.341,0.503,-0.053,-0.327
NM_001516,GTF2H3,-0.239,0.041,-0.111,0.157,0.26,0.067,0.194
NM_001519,BRF1,0.019,0.09,0.202,0.029,-0.016,0.238,0.002
NM_001520,GTF3C1,-0.028,0.07,0.109,-0.15,-0.059,N/A,-0.045
NM_001521,GTF3C2,-0.122,0.128,-0.017,0.074,0.234,-0.065,-0.02
NM_001524,HCRT,-0.075,-0.063,0.008,-0.09,0.065,N/A,N/A
NM_001525,HCRTR1,0.023,0.104,0.134,-0.074,0.049,-0.035,0.018
NM_001527,HDAC2,-0.057,0.005,0.006,-0.038,-0.072,-0.154,0.063
NM_001528,HGFAC,-0.039,-0.091,0.04,-0.078,0.081,0.023,0.033
NM_001536,PRMT1,0.019,0.163,-0.076,-0.325,0.155,-0.018,-0.066
NM_001537,HSBP1,-0.093,0.081,-0.013,0.01,0.085,-0.044,N/A
NM_001538,HSF4,0.109,-0.076,0.178,-0.087,0.065,0.017,-0.07
NM_001539,DNAJA1,-0.052,0.037,-0.088,-0.008,0.038,-0.007,0.044
NM_001540,HSPB1,-0.147,-0.103,-0.075,-0.221,-0.015,-0.175,N/A
NM_001547,IFIT2,1.197,-0.274,-0.162,-0.452,-0.006,0.091,N/A
NM_001548,IFIT1,0.409,-0.131,-0.263,-0.112,-0.088,0.12,-0.056
NM_001551,IGBP1,0.079,0.106,-0.075,0.101,0.461,0.021,-0.012
NM_001554,CYR61,0.612,0.124,0.082,0.137,-0.031,-0.45,-0.485
NM_001560,IL13RA1,0.331,0.107,0.132,-0.076,-0.241,-0.085,0.01
NM_001561,TNFRSF9,-0.08,N/A,0.083,-0.059,0.041,0.008,0.094
NM_001562,IL18,0.35,-0.029,0.164,0.17,0.094,0.01,-0.05
NM_001564,ING2,-0.111,0.183,0.046,-0.026,0.011,0.186,0.024
NM_001567,INPPL1,0.186,-0.184,0.112,-0.15,0.077,-0.158,-0.054
NM_001568,EIF3E,N/A,N/A,-0.437,0.264,0.997,-0.117,N/A
NM_001570,IRAK2,0.016,-0.01,-0.041,-0.029,0.141,-0.097,0.034
NM_001587,OCRL,-0.102,-0.255,0.142,-0.054,-0.27,-0.106,-0.078
NM_001605,AARS,-0.166,0.157,0.134,0.162,0.095,-0.02,0.115
NM_001610,ACP2,-0.545,-0.001,-0.271,-0.174,0.086,0.018,-0.059
NM_001614,ACTG1,-0.496,N/A,N/A,-0.552,-0.04,-0.427,N/A
NM_001616,ACVR2A,-0.234,0.085,0.089,0.333,0.187,-0.237,0.163
NM_001618,PARP1,0.142,0.048,-0.146,0.092,-0.052,-0.114,-0.041
